Dataset,City,Model,MAE,MSE,RMSE,R2
Wynajem (Rent),Rzeszow,Linear Regression,346.1717988404011,200742.24861328801,448.04268615087113,0.5530305121236855
Wynajem (Rent),Rzeszow,Random Forest,151.00492263698368,48110.649163037146,219.34139865296098,0.8928775961894038
Wynajem (Rent),Rzeszow,Gradient Boosting,207.20047683774055,80002.71109025284,282.84750500977174,0.8218672399470172
Wynajem (Rent),Rzeszow,KNN,242.78699186991872,128387.35479674797,358.31181224842135,0.7141347642575996
Wynajem (Rent),Rzeszow,SVR,457.0596964163868,440722.46669088857,663.869314467003,0.018694387488429554
Wynajem (Rent),Szczecin,Linear Regression,358.67557216113374,219588.31724266135,468.6025151902851,0.6205984482501041
Wynajem (Rent),Szczecin,Random Forest,153.81811599605035,79429.15906621156,281.83179214952236,0.8627634357678147
Wynajem (Rent),Szczecin,Gradient Boosting,268.1766990301216,147625.1249386082,384.2201516560632,0.7449354219647036
Wynajem (Rent),Szczecin,KNN,241.0841750841751,145988.35043771044,382.08421903778026,0.7477634175215848
Wynajem (Rent),Szczecin,SVR,541.2252707560433,550173.8044472645,741.7370183880972,0.04941757484863685
Wynajem (Rent),Warszawa,Linear Regression,1110.615566414467,2577641.9619932,1605.5036474555889,0.7016226520493574
Wynajem (Rent),Warszawa,Random Forest,368.09955439965887,480757.422336888,693.3667300475903,0.9443494764596612
Wynajem (Rent),Warszawa,Gradient Boosting,899.0590025142147,1713396.813693627,1308.967842879888,0.8016641547603987
Wynajem (Rent),Warszawa,KNN,623.0822804856589,1058699.2587928912,1028.9311244164458,0.877449280476616
Wynajem (Rent),Warszawa,SVR,1545.9837017893783,6600860.484884631,2569.213981918328,0.23591124185878487
Wynajem (Rent),Wroclaw,Linear Regression,523.5028581490942,490989.1841512121,700.7062038766405,0.6559228792617231
Wynajem (Rent),Wroclaw,Random Forest,219.05936078013758,117442.36027519169,342.69864352692105,0.9176983312859488
Wynajem (Rent),Wroclaw,Gradient Boosting,423.88278103076584,325918.1516274336,570.8924168592832,0.7716019357897466
Wynajem (Rent),Wroclaw,KNN,332.09011976047907,245725.90964071854,495.70748394665026,0.8277993360971194
Wynajem (Rent),Wroclaw,SVR,733.1591815113053,1306360.1914908201,1142.9611504731122,0.08452432793950426
